Symbol,Current Price,1-Year Return,2-Year Return,3-Year Return,4-Year Return,5-Year Return
asianhotnr,154.25,87.08308757953031,79.04816862210303,182.25067830411058,22.517869841561293,
asianpaint,3362.89990234375,5.550755663134448,9.18106343444771,96.70602851818266,157.88049901116813,142.40485990979178
asiantiles,45.04999923706055,-1.7448184595078815,-74.75576578379868,-80.4274635658,-78.87676441527908,-84.27143958998724
asms,11.850000381469727,139.39395632479722,224.657536215128,404.2553558453237,238.57143947056363,
aspinwall,242.75,-2.568731307753278,-3.461548100669064,102.11502881456471,80.29452096710948,
astec,1238.0999755859375,-31.138240261973714,-10.574216281261286,15.589907104258579,198.3168323019959,106.51757718029451
asterdm,318.1000061035156,40.224817079511574,99.06132667624908,148.32161666445506,171.53222531819264,88.5595802358609
astral,1980.3499755859375,47.1996143400114,31.38525570437257,265.6128636557912,234.83230549501351,306.0769262057853
astramicro,364.75,33.36380255941499,113.42233930485095,246.5229137707317,362.53792522693215,283.9182319457053
astrazen,3806.5,25.187052842417945,8.887654615601274,9.619971933100661,89.42968344744143,138.6512522344725
astron,26.0,-30.294904740462,-60.66565718578754,-33.33333333333333,-75.82519826848572,-77.44034707158352
atfl,890.4500122070312,14.31414060628646,-14.636058256892277,69.98355873513998,79.68718284990216,
atgl,652.0,-77.97371783081792,-25.95957096567379,330.7895432485583,299.3874425727412,
atlanta,14.149999618530273,-0.3521140239892076,-14.242426554361979,48.94736440558183,54.64481102134876,
atul,7093.7998046875,-16.831687362615533,-22.87881059236811,50.57195279196145,84.1789398413661,
atulauto,363.8500061035156,112.15743796123361,70.78150710710051,114.91435295029537,35.3581668201976,
aubank,725.9000244140625,24.757249269120102,24.537855357334333,101.38715489822987,121.58844527235033,121.33565392037337
aurionpro,1110.4000244140625,258.0203276691566,438.63694265818697,2021.1080358731665,1005.9966940701784,571.7126235164664
auropharma,816.2000122070312,50.56263585417585,-14.748157913862153,3.149301526071333,39.097747723851995,35.532409765218134
aurum,127.0,22.88340771654765,40.79823092773948,-67.11974110032362,-77.08615245827694,
ausoment,65.6500015258789,-12.349799481384533,-33.180660024550725,131.47603997074026,93.29094499283376,
autoaxles,2189.449951171875,5.4064489376241625,59.12760400378265,290.96732510257567,123.60884453053917,
autoind,80.94999694824219,10.061174152877914,56.727966228002344,320.5194646661932,61.09452129003421,
avadhsugar,570.3499755859375,4.183023631068271,19.62872979893606,238.61345740613916,104.98101406947333,250.47709704462844
avalon,570.3499755859375,,,,,
avantifeed,407.29998779296875,-6.378577354013316,-34.482635726681615,-7.665054763140673,23.51967615247821,-12.263760796189052
avonmore,407.29998779296875,,,,,
avroind,106.25,-9.804756156655687,46.55172413793103,144.25287356321837,232.03125,
avtnpl,86.9000015258789,-7.25719919299405,12.274443849948998,126.69586670864828,297.983658785604,172.4993075466973
awhcl,319.20001220703125,4.570028569052006,-6.103838580644952,,,
awl,400.5,-37.96949045832376,,,,
axisbank,945.25,31.476456492193876,25.132376151721402,111.84445857016601,22.879428014299645,72.94177803898437
axiscades,469.5,285.6262833675565,368.3291770573566,733.1854706537735,652.4038277551741,
axita,26.299999237060547,-0.39765743932764247,,,,
aymsyntex,69.9000015258789,-17.71629895588207,-8.925079445108917,234.44977417083038,104.98535089063677,
bafnaph,90.4000015258789,-17.818180431019176,-42.014108361092454,303.57144225616867,1514.2857690246747,
