SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
MAGADSUGAR.NS,Magadh Sugar & Energy Limited,EQ,28-Jul-17,10,1,INE347W01011,10
MAGNUM.NS,Magnum Ventures Limited,EQ,20-Sep-07,10,1,INE387I01016,10
MAHABANK.NS,Bank of Maharashtra,EQ,12-Apr-04,10,1,INE457A01014,10
MAHAPEXLTD.NS,Maha Rashtra Apex Corporation Limited,EQ,21-Jan-98,10,1,INE843B01013,10
MAHASTEEL.NS,Mahamaya Steel Industries Limited,EQ,1-Jul-16,10,1,INE451L01014,10
MAHEPC.NS,Mahindra EPC Irrigation Limited,EQ,14-Feb-20,10,1,INE215D01010,10
MAHESHWARI.NS,Maheshwari Logistics Limited,EQ,15-Apr-19,10,1,INE263W01010,10
MAHINDCIE.NS,Mahindra CIE Automotive Limited,EQ,30-Aug-07,10,1,INE536H01010,10
MAHLIFE.NS,Mahindra Lifespace Developers Limited,EQ,10-May-00,10,1,INE813A01018,10
MAHLOG.NS,Mahindra Logistics Limited,EQ,10-Nov-17,10,1,INE766P01016,10
MAHSCOOTER.NS,Maharashtra Scooters Limited,EQ,8-Feb-95,10,1,INE288A01013,10
MAHSEAMLES.NS,Maharashtra Seamless Limited,EQ,25-Aug-04,5,1,INE271B01025,5
MAITHANALL.NS,Maithan Alloys Limited,EQ,5-Jul-11,10,1,INE683C01011,10
MALLCOM.NS,Mallcom (India) Limited,EQ,2-Feb-22,10,1,INE389C01015,10
MALUPAPER.NS,Malu Paper Mills Limited,EQ,5-Apr-06,10,1,INE383H01017,10
MANAKALUCO.NS,Manaksia Aluminium Company Limited,EQ,30-Mar-15,1,1,INE859Q01017,1
MANAKCOAT.NS,Manaksia Coated Metals & Industries Limited,EQ,30-Mar-15,1,1,INE830Q01018,1
MANAKSIA.NS,Manaksia Limited,EQ,8-Jan-08,2,1,INE015D01022,2
MANAKSTEEL.NS,Manaksia Steels Limited,EQ,30-Mar-15,1,1,INE824Q01011,1
