,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SYMBOL1
1381,ROTO.NS,Roto Pumps Limited,EQ,21-Apr-22,2.0,1,INE535D01029,2,ROTO
1382,ROUTE.NS,ROUTE MOBILE LIMITED,EQ,21-Sep-20,10.0,1,INE450U01017,10,ROUTE
1383,RPGLIFE.NS,RPG Life Sciences Limited,EQ,10-Jun-08,8.0,1,INE105J01010,8,RPGLIFE
1384,RPOWER.NS,Reliance Power Limited,EQ,11-Feb-08,10.0,1,INE614G01033,10,RPOWER
1385,RPPINFRA.NS,R.P.P. Infra Projects Limited,EQ,6-Dec-10,10.0,1,INE324L01013,10,RPPINFRA
1386,RPPL.NS,Rajshree Polypack Limited,EQ,26-Nov-21,10.0,1,INE760W01015,10,RPPL
1387,RPSGVENT.NS,RPSG VENTURES LIMITED,EQ,25-Jan-19,10.0,1,INE425Y01011,10,RPSGVENT
1388,RSSOFTWARE.NS,R. S. Software (India) Limited,EQ,19-May-99,5.0,1,INE165B01029,5,RSSOFTWARE
1389,RSWM.NS,RSWM Limited,EQ,15-Feb-95,10.0,1,INE611A01016,10,RSWM
1390,RSYSTEMS.NS,R Systems International Limited,EQ,26-Apr-06,1.0,1,INE411H01032,1,RSYSTEMS
1391,RTNINDIA.NS,RattanIndia Enterprises Limited,EQ,30-Jul-12,2.0,1,INE834M01019,2,RTNINDIA
1392,RTNPOWER.NS,RattanIndia Power Limited,EQ,30-Oct-09,10.0,1,INE399K01017,10,RTNPOWER
1393,RUBYMILLS.NS,The Ruby Mills Limited,EQ,29-Mar-95,5.0,1,INE301D01026,5,RUBYMILLS
1394,RUCHINFRA.NS,Ruchi Infrastructure Limited,BE,16-Oct-96,1.0,1,INE413B01023,1,RUCHINFRA
1395,RUCHIRA.NS,Ruchira Papers Limited,EQ,20-Dec-06,10.0,1,INE803H01014,10,RUCHIRA
1396,RUPA.NS,Rupa & Company Limited,EQ,7-Dec-11,1.0,1,INE895B01021,1,RUPA
1397,RUSHI-RE1.NS,Rushil Decor Limited-RE,BE,2-May-23,10.0,1,INE573K20025,10,RUSHI-RE1
1398,RUSHIL.NS,Rushil Decor Limited,EQ,7-Jul-11,10.0,1,INE573K01017,10,RUSHIL
1399,RUSTOMJEE.NS,Keystone Realtors Limited,EQ,24-Nov-22,10.0,1,INE263M01029,10,RUSTOMJEE
1400,RVHL.NS,Ravinder Heights Limited,EQ,18-Dec-20,1.0,1,INE09E501017,1,RVHL
1401,RVNL.NS,Rail Vikas Nigam Limited,EQ,11-Apr-19,10.0,1,INE415G01027,10,RVNL
1402,S&SPOWER.NS,S&S Power Switchgears Limited,BE,27-Sep-95,10.0,1,INE902B01017,10,S&SPOWER
1403,SABEVENTS.NS,Sab Events & Governance Now Media Limited,EQ,15-Sep-16,10.0,1,INE860T01019,10,SABEVENTS
1404,SABTN.NS,Sri Adhikari Brothers Television Network Limited,BE,16-Nov-07,10.0,1,INE416A01036,10,SABTN
1405,SADBHAV.NS,Sadbhav Engineering Limited,EQ,1-Mar-06,1.0,1,INE226H01026,1,SADBHAV
1406,SADBHIN.NS,Sadbhav Infrastructure Project Limited,EQ,16-Sep-15,10.0,1,INE764L01010,10,SADBHIN
1407,SAFARI.NS,Safari Industries (India) Limited,EQ,12-Sep-19,2.0,1,INE429E01023,2,SAFARI
1408,SAGARDEEP.NS,Sagardeep Alloys Limited,EQ,25-Jan-19,10.0,1,INE976T01013,10,SAGARDEEP
1409,SAGCEM.NS,Sagar Cements Limited,EQ,29-Jan-07,2.0,1,INE229C01021,2,SAGCEM
1410,SAH.NS,Sah Polymers Limited,EQ,12-Jan-23,10.0,1,INE035801013,10,SAH
