,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SYMBOL1
69,AKSHARCHEM.NS,AksharChem India Limited,EQ,28-Mar-17,10.0,1,INE542B01011,10,AKSHARCHEM
70,AKSHOPTFBR.NS,Aksh Optifibre Limited,EQ,18-Aug-00,5.0,1,INE523B01011,5,AKSHOPTFBR
71,AKZOINDIA.NS,Akzo Nobel India Limited,EQ,28-Jun-01,10.0,1,INE133A01011,10,AKZOINDIA
72,ALANKIT.NS,Alankit Limited,EQ,30-Jun-15,1.0,1,INE914E01040,1,ALANKIT
73,ALBERTDAVD.NS,Albert David Limited,EQ,14-Jun-16,10.0,1,INE155C01010,10,ALBERTDAVD
74,ALEMBICLTD.NS,Alembic Limited,EQ,22-Sep-99,2.0,1,INE426A01027,2,ALEMBICLTD
75,ALICON.NS,Alicon Castalloy Limited,EQ,29-Sep-06,5.0,1,INE062D01024,5,ALICON
76,ALKALI.NS,Alkali Metals Limited,EQ,6-Nov-08,10.0,1,INE773I01017,10,ALKALI
77,ALKEM.NS,Alkem Laboratories Limited,EQ,23-Dec-15,2.0,1,INE540L01014,2,ALKEM
78,ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,EQ,26-Nov-07,2.0,1,INE150B01039,2,ALKYLAMINE
79,ALLCARGO.NS,Allcargo Logistics Limited,BE,23-Jun-06,2.0,1,INE418H01029,2,ALLCARGO
80,ALLSEC.NS,Allsec Technologies Limited,EQ,9-May-05,10.0,1,INE835G01018,10,ALLSEC
81,ALMONDZ.NS,Almondz Global Securities Limited,EQ,16-Jun-08,6.0,1,INE326B01027,6,ALMONDZ
82,ALOKINDS.NS,Alok Industries Limited,EQ,19-Feb-20,1.0,1,INE270A01029,1,ALOKINDS
83,ALPA.NS,Alpa Laboratories Limited,EQ,6-Aug-07,10.0,1,INE385I01010,10,ALPA
84,ALPHAGEO.NS,Alphageo (India) Limited,EQ,11-May-07,10.0,1,INE137C01018,10,ALPHAGEO
85,ALPSINDUS.NS,Alps Industries Limited,EQ,24-Apr-96,10.0,1,INE093B01015,10,ALPSINDUS
86,AMARAJABAT.NS,Amara Raja Batteries Limited,EQ,5-Sep-03,1.0,1,INE885A01032,1,AMARAJABAT
87,AMBER.NS,Amber Enterprises India Limited,EQ,30-Jan-18,10.0,1,INE371P01015,10,AMBER
88,AMBICAAGAR.NS,Ambica Agarbathies & Aroma industries Limited,EQ,29-Jun-04,10.0,1,INE792B01012,10,AMBICAAGAR
89,AMBIKCO.NS,Ambika Cotton Mills Limited,EQ,29-Jan-08,10.0,1,INE540G01014,10,AMBIKCO
90,AMBUJACEM.NS,Ambuja Cements Limited,EQ,18-Feb-98,2.0,1,INE079A01024,2,AMBUJACEM
91,AMDIND.NS,AMD Industries Limited,EQ,19-Mar-07,10.0,1,INE005I01014,10,AMDIND
92,AMIORG.NS,Ami Organics Limited,EQ,14-Sep-21,10.0,1,INE00FF01017,10,AMIORG
93,AMJLAND.NS,Amj Land Holdings Limited,EQ,8-Feb-95,2.0,1,INE606A01024,2,AMJLAND
94,AMRUTANJAN.NS,Amrutanjan Health Care Limited,EQ,2-Jan-15,1.0,1,INE098F01031,1,AMRUTANJAN
95,ANANDRATHI.NS,Anand Rathi Wealth Limited,EQ,14-Dec-21,5.0,1,INE463V01026,5,ANANDRATHI
96,ANANTRAJ.NS,Anant Raj Limited,EQ,27-Sep-06,2.0,1,INE242C01024,2,ANANTRAJ
97,ANDHRAPAP.NS,ANDHRA PAPER LIMITED,EQ,13-May-04,10.0,1,INE435A01028,10,ANDHRAPAP
98,ANDHRSUGAR.NS,The Andhra Sugars Limited,EQ,1-Nov-95,2.0,1,INE715B01021,2,ANDHRSUGAR
99,ANDREWYU.NS,Andrew Yule & Company Limited,EQ,5-Aug-21,2.0,1,INE449C01025,2,ANDREWYU
100,ANGELONE.NS,Angel One Limited,EQ,5-Oct-20,10.0,1,INE732I01013,10,ANGELONE
101,ANIKINDS.NS,Anik Industries Limited,EQ,21-May-08,10.0,1,INE087B01017,10,ANIKINDS
102,ANKITMETAL.NS,Ankit Metal & Power Limited,EQ,14-Mar-13,10.0,1,INE106I01010,10,ANKITMETAL
103,ANMOL.NS,Anmol India Limited,EQ,4-Jun-21,10.0,1,INE02AR01019,10,ANMOL
104,ANTGRAPHIC.NS,Antarctica Limited,BE,31-Dec-97,1.0,1,INE414B01021,1,ANTGRAPHIC
105,ANUP.NS,The Anup Engineering Limited,EQ,1-Mar-19,10.0,1,INE294Z01018,10,ANUP
106,ANURAS.NS,Anupam Rasayan India Limited,EQ,24-Mar-21,10.0,1,INE930P01018,10,ANURAS
107,APARINDS.NS,Apar Industries Limited,EQ,12-Jul-04,10.0,1,INE372A01015,10,APARINDS
108,APCL.NS,Anjani Portland Cement Limited,EQ,10-Apr-17,10.0,1,INE071F01012,10,APCL
109,APCOTEXIND.NS,Apcotex Industries Limited,EQ,6-Sep-95,2.0,1,INE116A01032,2,APCOTEXIND
110,APEX.NS,Apex Frozen Foods Limited,EQ,4-Sep-17,10.0,1,INE346W01013,10,APEX
111,APLAPOLLO.NS,APL Apollo Tubes Limited,EQ,14-Dec-11,2.0,1,INE702C01027,2,APLAPOLLO
112,APLLTD.NS,Alembic Pharmaceuticals Limited,EQ,20-Sep-11,2.0,1,INE901L01018,2,APLLTD
113,APOLLO.NS,Apollo Micro Systems Limited,EQ,22-Jan-18,10.0,1,INE713T01010,10,APOLLO
114,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,EQ,10-Jan-96,5.0,1,INE437A01024,5,APOLLOHOSP
115,APOLLOPIPE.NS,Apollo Pipes Limited,EQ,11-Nov-19,10.0,1,INE126J01016,10,APOLLOPIPE
116,APOLLOTYRE.NS,Apollo Tyres Limited,EQ,31-May-95,1.0,1,INE438A01022,1,APOLLOTYRE
117,APOLSINHOT.NS,Apollo Sindoori Hotels Limited,EQ,28-Jan-15,5.0,1,INE451F01024,5,APOLSINHOT
118,APTECHT.NS,Aptech Limited,EQ,27-Sep-02,10.0,1,INE266F01018,10,APTECHT
119,APTUS.NS,Aptus Value Housing Finance India Limited,EQ,24-Aug-21,2.0,1,INE852O01025,2,APTUS
120,ARCHIDPLY.NS,Archidply Industries Limited,EQ,4-Jul-08,10.0,1,INE877I01016,10,ARCHIDPLY
121,ARCHIES.NS,Archies Limited,EQ,2-Sep-98,2.0,1,INE731A01020,2,ARCHIES
122,ARENTERP.NS,Rajdarshan Industries Limited,EQ,18-Oct-95,10.0,1,INE610C01014,10,ARENTERP
123,ARIES.NS,Aries Agro Limited,EQ,11-Jan-08,10.0,1,INE298I01015,10,ARIES
124,ARIHANTCAP.NS,Arihant Capital Markets Limited,EQ,15-Jun-21,1.0,1,INE420B01036,1,ARIHANTCAP
125,ARIHANTSUP.NS,Arihant Superstructures Limited,EQ,28-Mar-17,10.0,1,INE643K01018,10,ARIHANTSUP
126,ARMANFIN.NS,Arman Financial Services Limited,EQ,14-Jun-16,10.0,1,INE109C01017,10,ARMANFIN
127,AROGRANITE.NS,Aro Granite Industries Limited,EQ,24-Apr-07,10.0,1,INE210C01013,10,AROGRANITE
128,ARROWGREEN.NS,Arrow Greentech Limited,EQ,21-May-15,10.0,1,INE570D01018,10,ARROWGREEN
129,ARSHIYA.NS,Arshiya Limited,EQ,14-Dec-09,2.0,1,INE968D01022,2,ARSHIYA
130,ARTEMISMED.NS,Artemis Medicare Services Limited,EQ,23-Jan-20,1.0,1,INE025R01021,1,ARTEMISMED
131,ARTNIRMAN.NS,Art Nirman Limited,EQ,18-Oct-21,10.0,1,INE738V01013,10,ARTNIRMAN
132,ARVEE.NS,Arvee Laboratories (India) Limited,EQ,22-Mar-21,10.0,1,INE006Z01016,10,ARVEE
133,ARVIND.NS,Arvind Limited,EQ,8-Feb-95,10.0,1,INE034A01011,10,ARVIND
134,ARVINDFASN.NS,Arvind Fashions Limited,EQ,8-Mar-19,4.0,1,INE955V01021,4,ARVINDFASN
135,ARVSMART.NS,Arvind SmartSpaces Limited,EQ,26-Aug-15,10.0,1,INE034S01021,10,ARVSMART
136,ASAHIINDIA.NS,Asahi India Glass Limited,EQ,18-Mar-98,1.0,1,INE439A01020,1,ASAHIINDIA
137,ASAHISONG.NS,Asahi Songwon Colors Limited,EQ,29-Aug-11,10.0,1,INE228I01012,10,ASAHISONG
138,ASAL.NS,Automotive Stampings and Assemblies Limited,EQ,12-Mar-02,10.0,1,INE900C01027,10,ASAL
139,ASALCBR.NS,Associated Alcohols & Breweries Ltd.,EQ,12-Feb-20,10.0,1,INE073G01016,10,ASALCBR
140,ASHAPURMIN.NS,Ashapura Minechem Limited,EQ,20-Sep-95,2.0,1,INE348A01023,2,ASHAPURMIN
141,ASHIANA.NS,Ashiana Housing Limited,EQ,29-Jun-11,2.0,1,INE365D01021,2,ASHIANA
142,ASHIMASYN.NS,Ashima Limited,EQ,27-Jul-95,10.0,1,INE440A01010,10,ASHIMASYN
143,ASHOKA.NS,Ashoka Buildcon Limited,EQ,14-Oct-10,5.0,1,INE442H01029,5,ASHOKA
144,ASHOKLEY.NS,Ashok Leyland Limited,EQ,25-May-95,1.0,1,INE208A01029,1,ASHOKLEY
145,ASIANENE.NS,Asian Energy Services Limited,BE,9-Dec-21,10.0,1,INE276G01015,10,ASIANENE
146,ASIANHOTNR.NS,Asian Hotels (North) Limited,BE,7-Apr-10,10.0,1,INE363A01022,10,ASIANHOTNR
147,ASIANPAINT.NS,Asian Paints Limited,EQ,31-May-95,1.0,1,INE021A01026,1,ASIANPAINT
148,ASIANTILES.NS,Asian Granito India Limited,EQ,23-Aug-07,10.0,1,INE022I01019,10,ASIANTILES
149,ASMS.NS,Bartronics India Limited,BZ,9-Feb-23,1.0,1,INE855F01042,1,ASMS
150,ASPINWALL.NS,Aspinwall and Company Limited,EQ,14-Jun-16,10.0,1,INE991I01015,10,ASPINWALL
151,ASTEC.NS,Astec LifeSciences Limited,EQ,25-Nov-09,10.0,1,INE563J01010,10,ASTEC
152,ASTERDM.NS,Aster DM Healthcare Limited,EQ,26-Feb-18,10.0,1,INE914M01019,10,ASTERDM
153,ASTRAL.NS,Astral Limited,EQ,20-Mar-07,1.0,1,INE006I01046,1,ASTRAL
154,ASTRAMICRO.NS,Astra Microwave Products Limited,EQ,1-Nov-04,2.0,1,INE386C01029,2,ASTRAMICRO
155,ASTRAZEN.NS,AstraZeneca Pharma India Limited,EQ,4-May-01,2.0,1,INE203A01020,2,ASTRAZEN
156,ASTRON.NS,Astron Paper & Board Mill Limited,EQ,29-Dec-17,10.0,1,INE646X01014,10,ASTRON
157,ATFL.NS,Agro Tech Foods Limited,EQ,6-Dec-02,10.0,1,INE209A01019,10,ATFL
158,ATGL.NS,Adani Total Gas Limited,EQ,5-Nov-18,1.0,1,INE399L01023,1,ATGL
159,ATLANTA.NS,Atlanta  Limited,EQ,25-Sep-06,2.0,1,INE285H01022,2,ATLANTA
160,ATUL.NS,Atul Limited,EQ,6-May-98,10.0,1,INE100A01010,10,ATUL
161,ATULAUTO.NS,Atul Auto Limited,EQ,26-Jun-13,5.0,1,INE951D01028,5,ATULAUTO
162,AUBANK.NS,AU Small Finance Bank Limited,EQ,10-Jul-17,10.0,1,INE949L01017,10,AUBANK
163,AURIONPRO.NS,Aurionpro Solutions Limited,EQ,25-Oct-05,10.0,1,INE132H01018,10,AURIONPRO
164,AUROPHARMA.NS,Aurobindo Pharma Limited,EQ,19-Jul-00,1.0,1,INE406A01037,1,AUROPHARMA
165,AURUM.NS,Aurum PropTech Limited,EQ,19-Aug-15,5.0,1,INE898S01029,5,AURUM
166,AUSOMENT.NS,Ausom Enterprise Limited,EQ,17-Apr-96,10.0,1,INE218C01016,10,AUSOMENT
167,AUTOAXLES.NS,Automotive Axles Limited,EQ,29-May-03,10.0,1,INE449A01011,10,AUTOAXLES
168,AUTOIND.NS,Autoline Industries Limited,EQ,31-Jan-07,10.0,1,INE718H01014,10,AUTOIND
169,AVADHSUGAR.NS,Avadh Sugar & Energy Limited,EQ,28-Jul-17,10.0,1,INE349W01017,10,AVADHSUGAR
170,AVALON.NS,Avalon Technologies Limited,EQ,18-Apr-23,2.0,1,INE0LCL01028,2,AVALON
171,AVANTIFEED.NS,Avanti Feeds Limited,EQ,15-Apr-15,1.0,1,INE871C01038,1,AVANTIFEED
172,AVONMORE.NS,Avonmore Capital & Management Services Limited,EQ,4-Jan-23,10.0,1,INE323B01016,10,AVONMORE
173,AVROIND.NS,AVRO INDIA LIMITED,EQ,7-Apr-22,10.0,1,INE652Z01017,10,AVROIND
174,AVTNPL.NS,AVT Natural Products Limited,EQ,10-Jan-07,1.0,1,INE488D01021,1,AVTNPL
175,AWHCL.NS,Antony Waste Handling Cell Limited,EQ,1-Jan-21,5.0,1,INE01BK01022,5,AWHCL
176,AWL.NS,Adani Wilmar Limited,EQ,8-Feb-22,1.0,1,INE699H01024,1,AWL
177,AXISBANK.NS,Axis Bank Limited,EQ,16-Nov-98,2.0,1,INE238A01034,2,AXISBANK
178,AXISCADES.NS,AXISCADES Technologies Limited,EQ,21-Dec-00,5.0,1,INE555B01013,5,AXISCADES
179,AXITA.NS,Axita Cotton Limited,EQ,21-Jun-22,1.0,1,INE02EZ01022,1,AXITA
180,AYMSYNTEX.NS,AYM Syntex Limited,EQ,14-Aug-15,10.0,1,INE193B01039,10,AYMSYNTEX
181,BAFNAPH.NS,Bafna Pharmaceuticals Limited,BE,27-Feb-20,10.0,1,INE878I01022,10,BAFNAPH
182,BAGFILMS.NS,B.A.G Films and Media Limited,EQ,17-Oct-03,2.0,1,INE116D01028,2,BAGFILMS
183,BAIDFIN.NS,Baid Finserv Limited,EQ,20-Jan-23,2.0,1,INE020D01022,2,BAIDFIN
184,BAJAJ-AUTO.NS,Bajaj Auto Limited,EQ,26-May-08,10.0,1,INE917I01010,10,BAJAJ-AUTO
185,BAJAJCON.NS,Bajaj Consumer Care Limited,EQ,18-Aug-10,1.0,1,INE933K01021,1,BAJAJCON
186,BAJAJELEC.NS,Bajaj Electricals Limited,EQ,2-Nov-07,2.0,1,INE193E01025,2,BAJAJELEC
187,BAJAJFINSV.NS,Bajaj Finserv Limited,EQ,26-May-08,1.0,1,INE918I01026,1,BAJAJFINSV
188,BAJAJHCARE.NS,Bajaj Healthcare Limited,EQ,25-Nov-21,5.0,1,INE411U01027,5,BAJAJHCARE
189,BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,EQ,10-May-95,1.0,1,INE306A01021,1,BAJAJHIND
190,BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,EQ,15-Mar-95,10.0,1,INE118A01012,10,BAJAJHLDNG
191,BAJFINANCE.NS,Bajaj Finance Limited,EQ,1-Apr-03,2.0,1,INE296A01024,2,BAJFINANCE
192,BALAJITELE.NS,Balaji Telefilms Limited,EQ,22-Nov-00,2.0,1,INE794B01026,2,BALAJITELE
193,BALAMINES.NS,Balaji Amines Limited,EQ,5-Apr-07,2.0,1,INE050E01027,2,BALAMINES
194,BALAXI.NS,BALAXI PHARMACEUTICALS LIMITED,EQ,30-Nov-15,10.0,1,INE618N01014,10,BALAXI
195,BALKRISHNA.NS,Balkrishna Paper Mills Limited,EQ,28-Jul-15,10.0,1,INE875R01011,10,BALKRISHNA
196,BALKRISIND.NS,Balkrishna Industries Limited,EQ,27-Jan-06,2.0,1,INE787D01026,2,BALKRISIND
197,BALLARPUR.NS,Ballarpur Industries Limited,BZ,31-Mar-08,2.0,1,INE294A01037,2,BALLARPUR
198,BALMLAWRIE.NS,Balmer Lawrie & Company Limited,EQ,6-Jul-95,10.0,1,INE164A01016,10,BALMLAWRIE
199,BALPHARMA.NS,Bal Pharma Limited,EQ,8-May-06,10.0,1,INE083D01012,10,BALPHARMA
200,BALRAMCHIN.NS,Balrampur Chini Mills Limited,EQ,8-Feb-95,1.0,1,INE119A01028,1,BALRAMCHIN
201,BANARBEADS.NS,Banaras Beads Limited,EQ,7-Jul-95,10.0,1,INE655B01011,10,BANARBEADS
202,BANARISUG.NS,Bannari Amman Sugars Limited,EQ,28-May-03,10.0,1,INE459A01010,10,BANARISUG
203,BANCOINDIA.NS,Banco Products (I) Limited,EQ,22-Dec-06,2.0,1,INE213C01025,2,BANCOINDIA
204,BANDHANBNK.NS,Bandhan Bank Limited,EQ,27-Mar-18,10.0,1,INE545U01014,10,BANDHANBNK
205,BANG.NS,Bang Overseas Limited,EQ,20-Feb-08,10.0,1,INE863I01016,10,BANG
206,BANKA.NS,Banka BioLoo Limited,EQ,29-Oct-20,10.0,1,INE862Y01015,10,BANKA
207,BANKBARODA.NS,Bank of Baroda,EQ,19-Feb-97,2.0,1,INE028A01039,2,BANKBARODA
208,BANKINDIA.NS,Bank of India,EQ,30-Apr-97,10.0,1,INE084A01016,10,BANKINDIA
209,BANSWRAS.NS,Banswara Syntex Limited,EQ,11-Apr-07,5.0,1,INE629D01020,5,BANSWRAS
210,BARBEQUE.NS,Barbeque Nation Hospitality Limited,EQ,7-Apr-21,5.0,1,INE382M01027,5,BARBEQUE
211,BASF.NS,BASF India Limited,EQ,17-May-95,10.0,1,INE373A01013,10,BASF
212,BASML.NS,Bannari Amman Spinning Mills Limited,EQ,14-Nov-05,5.0,1,INE186H01022,5,BASML
213,BATAINDIA.NS,Bata India Limited,EQ,18-Jun-03,5.0,1,INE176A01028,5,BATAINDIA
214,BAYERCROP.NS,Bayer Cropscience Limited,EQ,8-Jan-10,10.0,1,INE462A01022,10,BAYERCROP
215,BBL.NS,Bharat Bijlee Limited,EQ,21-Nov-06,10.0,1,INE464A01028,10,BBL
216,BBOX.NS,Black Box Limited,EQ,22-Jul-03,2.0,1,INE676A01027,2,BBOX
217,BBTC.NS,Bombay Burmah Trading Corporation Limited,EQ,3-Apr-96,2.0,1,INE050A01025,2,BBTC
218,BBTCL.NS,B&B Triplewall Containers Limited,EQ,23-Nov-22,10.0,1,INE01EE01011,10,BBTCL
219,BCG.NS,Brightcom Group Limited,EQ,8-May-15,2.0,1,INE425B01027,2,BCG
220,BCLIND.NS,Bcl Industries Limited,EQ,4-Mar-21,10.0,1,INE412G01016,10,BCLIND
221,BCONCEPTS.NS,Brand Concepts Limited,EQ,11-Jan-22,10.0,1,INE977Y01011,10,BCONCEPTS
222,BCP.NS,B.C. Power Controls Ltd,EQ,19-Aug-19,2.0,1,INE905P01028,2,BCP
223,BDL.NS,Bharat Dynamics Limited,EQ,23-Mar-18,10.0,1,INE171Z01018,10,BDL
224,BEARDSELL.NS,Beardsell Limited,EQ,13-Jan-15,2.0,1,INE520H01022,2,BEARDSELL
225,BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited,EQ,24-Dec-20,10.0,1,INE495P01012,10,BECTORFOOD
226,BEDMUTHA.NS,Bedmutha Industries Limited,EQ,14-Oct-10,10.0,1,INE844K01012,10,BEDMUTHA
227,BEL.NS,Bharat Electronics Limited,EQ,19-Jul-00,1.0,1,INE263A01024,1,BEL
228,BEML.NS,BEML Limited,EQ,5-Nov-03,10.0,1,INE258A01016,10,BEML
229,BEPL.NS,Bhansali Engineering Polymers Limited,EQ,21-Mar-05,1.0,1,INE922A01025,1,BEPL
230,BERGEPAINT.NS,Berger Paints (I) Limited,EQ,24-Nov-99,1.0,1,INE463A01038,1,BERGEPAINT
231,BESTAGRO.NS,Best Agrolife Limited,EQ,22-Feb-21,10.0,1,INE052T01013,10,BESTAGRO
232,BFINVEST.NS,BF Investment Limited,EQ,14-Jan-11,5.0,1,INE878K01010,5,BFINVEST
233,BFUTILITIE.NS,BF Utilities Limited,EQ,3-May-07,5.0,1,INE243D01012,5,BFUTILITIE
234,BGRENERGY.NS,BGR Energy Systems Limited,EQ,3-Jan-08,10.0,1,INE661I01014,10,BGRENERGY
235,BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited,EQ,18-Oct-21,10.0,1,INE414D01019,10,BHAGCHEM
236,BHAGERIA.NS,Bhageria Industries Limited,EQ,2-Mar-16,5.0,1,INE354C01027,5,BHAGERIA
237,BHAGYANGR.NS,Bhagyanagar India Limited,EQ,17-May-17,2.0,1,INE458B01036,2,BHAGYANGR
238,BHANDARI.NS,Bhandari Hosiery Exports Limited,EQ,30-Jan-17,1.0,1,INE474E01029,1,BHANDARI
239,BHARATFORG.NS,Bharat Forge Limited,EQ,4-Apr-03,2.0,1,INE465A01025,2,BHARATFORG
240,BHARATGEAR.NS,Bharat Gears Limited,EQ,3-Apr-96,10.0,1,INE561C01019,10,BHARATGEAR
241,BHARATRAS.NS,Bharat Rasayan Limited,EQ,11-Oct-95,10.0,1,INE838B01013,10,BHARATRAS
242,BHARATWIRE.NS,Bharat Wire Ropes Limited,EQ,1-Apr-16,10.0,1,INE316L01019,10,BHARATWIRE
243,BHARTIARTL.NS,Bharti Airtel Limited,EQ,15-Feb-02,5.0,1,INE397D01024,5,BHARTIARTL
244,BHEL.NS,Bharat Heavy Electricals Limited,EQ,11-Nov-03,2.0,1,INE257A01026,2,BHEL
245,BIGBLOC.NS,Bigbloc Construction Limited,EQ,2-Sep-16,2.0,1,INE412U01025,2,BIGBLOC
246,BIKAJI.NS,Bikaji Foods International Limited,EQ,16-Nov-22,1.0,1,INE00E101023,1,BIKAJI
247,BIL.NS,Bhartiya International Limited,EQ,12-Apr-00,10.0,1,INE828A01016,10,BIL
248,BINANIIND.NS,Binani Industries Limited,EQ,27-Sep-06,10.0,1,INE071A01013,10,BINANIIND
249,BINDALAGRO.NS,Oswal Chemicals & Fertilizers Limited,EQ,28-Aug-96,10.0,1,INE143A01010,10,BINDALAGRO
250,BIOCON.NS,Biocon Limited,EQ,7-Apr-04,5.0,1,INE376G01013,5,BIOCON
251,BIOFILCHEM.NS,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-Jun-96,10.0,1,INE829A01014,10,BIOFILCHEM
252,BIRLACABLE.NS,Birla Cable Limited,EQ,6-Dec-95,10.0,1,INE800A01015,10,BIRLACABLE
253,BIRLACORPN.NS,Birla Corporation Limited,EQ,12-Apr-95,10.0,1,INE340A01012,10,BIRLACORPN
254,BIRLAMONEY.NS,Aditya Birla Money Limited,EQ,7-Feb-08,1.0,1,INE865C01022,1,BIRLAMONEY
255,BLAL.NS,BEML Land Assets Limited,BE,19-Apr-23,10.0,1,INE0N7W01012,10,BLAL
256,BLBLIMITED.NS,BLB Limited,EQ,31-May-00,1.0,1,INE791A01024,1,BLBLIMITED
257,BLISSGVS.NS,Bliss GVS Pharma Limited,EQ,26-Jul-10,1.0,1,INE416D01022,1,BLISSGVS
258,BLKASHYAP.NS,B. L. Kashyap and Sons Limited,EQ,17-Mar-06,1.0,1,INE350H01032,1,BLKASHYAP
259,BLS.NS,BLS International Services Limited,EQ,14-Jun-16,1.0,1,INE153T01027,1,BLS
260,BLUECOAST.NS,Blue Coast Hotels Limited,BE,16-Feb-00,10.0,1,INE472B01011,10,BLUECOAST
261,BLUEDART.NS,Blue Dart Express Limited,EQ,12-Dec-02,10.0,1,INE233B01017,10,BLUEDART
262,BLUESTARCO.NS,Blue Star Limited,EQ,15-Jun-00,2.0,1,INE472A01039,2,BLUESTARCO
263,BODALCHEM.NS,Bodal Chemicals Limited,EQ,22-Aug-11,2.0,1,INE338D01028,2,BODALCHEM
264,BOHRAIND.NS,Bohra Industries Limited,EQ,27-Oct-22,10.0,1,INE802W01023,10,BOHRAIND
265,BOMDYEING.NS,Bombay Dyeing & Mfg Company Limited,EQ,26-Apr-95,2.0,1,INE032A01023,2,BOMDYEING
266,BOROLTD.NS,Borosil Limited,EQ,22-Jul-20,1.0,1,INE02PY01013,1,BOROLTD
267,BORORENEW.NS,BOROSIL RENEWABLES LIMITED,EQ,25-May-18,1.0,1,INE666D01022,1,BORORENEW
268,BOSCHLTD.NS,Bosch Limited,EQ,12-May-03,10.0,1,INE323A01026,10,BOSCHLTD
269,BPCL.NS,Bharat Petroleum Corporation Limited,EQ,13-Sep-95,10.0,1,INE029A01011,10,BPCL
270,BPL.NS,BPL Limited,EQ,14-Jun-95,10.0,1,INE110A01019,10,BPL
271,BRIGADE.NS,Brigade Enterprises Limited,EQ,31-Dec-07,10.0,1,INE791I01019,10,BRIGADE
272,BRITANNIA.NS,Britannia Industries Limited,EQ,5-Nov-98,1.0,1,INE216A01030,1,BRITANNIA
273,BRNL.NS,Bharat Road Network Limited,EQ,18-Sep-17,10.0,1,INE727S01012,10,BRNL
274,BROOKS.NS,Brooks Laboratories Limited,EQ,5-Sep-11,10.0,1,INE650L01011,10,BROOKS
275,BSE.NS,BSE Limited,EQ,3-Feb-17,2.0,1,INE118H01025,2,BSE
276,BSHSL.NS,Bombay Super Hybrid Seeds Limited,BE,28-Oct-20,1.0,1,INE032Z01020,1,BSHSL
277,BSL.NS,BSL Limited,EQ,27-Jul-95,10.0,1,INE594B01012,10,BSL
278,BSOFT.NS,BIRLASOFT LIMITED,EQ,24-Nov-99,2.0,1,INE836A01035,2,BSOFT
279,BTML.NS,Bodhi Tree Multimedia Limited,EQ,15-Feb-23,10.0,1,INE0EEJ01015,10,BTML
280,BURNPUR.NS,Burnpur Cement Limited,EQ,3-Jan-08,10.0,1,INE817H01014,10,BURNPUR
281,BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited,EQ,28-Apr-14,10.0,1,INE295F01017,10,BUTTERFLY
282,BVCL.NS,Barak Valley Cements Limited,EQ,23-Nov-07,10.0,1,INE139I01011,10,BVCL
283,BYKE.NS,The Byke Hospitality Ltd,EQ,15-Apr-15,10.0,1,INE319B01014,10,BYKE
284,CALSOFT.NS,California Software Company Limited,EQ,28-Jun-00,10.0,1,INE526B01014,10,CALSOFT
285,CAMLINFINE.NS,Camlin Fine Sciences Limited,EQ,20-Jan-15,1.0,1,INE052I01032,1,CAMLINFINE
286,CAMPUS.NS,Campus Activewear Limited,EQ,9-May-22,5.0,1,INE278Y01022,5,CAMPUS
287,CAMS.NS,Computer Age Management Services Limited,EQ,7-May-21,10.0,1,INE596I01012,10,CAMS
288,CANBK.NS,Canara Bank,EQ,23-Dec-02,10.0,1,INE476A01014,10,CANBK
289,CANFINHOME.NS,Can Fin Homes Limited,EQ,10-May-95,2.0,1,INE477A01020,2,CANFINHOME
290,CANTABIL.NS,Cantabil Retail India Limited,EQ,12-Oct-10,10.0,1,INE068L01016,10,CANTABIL
291,CAPACITE.NS,Capacit'e Infraprojects Limited,EQ,25-Sep-17,10.0,1,INE264T01014,10,CAPACITE
292,CAPLIPOINT.NS,Caplin Point Laboratories Limited,EQ,23-Jun-14,2.0,1,INE475E01026,2,CAPLIPOINT
293,CAPTRUST.NS,Capital Trust Limited,EQ,16-Jan-17,10.0,1,INE707C01018,10,CAPTRUST
294,CARBORUNIV.NS,Carborundum Universal Limited,EQ,3-Apr-96,1.0,1,INE120A01034,1,CARBORUNIV
295,CAREERP.NS,Career Point Limited,EQ,6-Oct-10,10.0,1,INE521J01018,10,CAREERP
296,CARERATING.NS,CARE Ratings Limited,EQ,26-Dec-12,10.0,1,INE752H01013,10,CARERATING
297,CARTRADE.NS,Cartrade Tech Limited,EQ,20-Aug-21,10.0,1,INE290S01011,10,CARTRADE
298,CARYSIL.NS,CARYSIL LIMITED,EQ,14-Jan-21,2.0,1,INE482D01024,2,CARYSIL
299,CASTROLIND.NS,Castrol India Limited,EQ,14-Mar-14,5.0,1,INE172A01027,5,CASTROLIND
300,CCCL.NS,Consolidated Construction Consortium Limited,BE,15-Oct-07,2.0,1,INE429I01024,2,CCCL
301,CCHHL.NS,Country Club Hospitality & Holidays Limited,BE,3-Feb-15,2.0,1,INE652F01027,2,CCHHL
302,CCL.NS,CCL Products (India) Limited,EQ,7-Jun-04,2.0,1,INE421D01022,2,CCL
