Ticker,Name,Exchange,Category
GUJHOTE.BO,Gujarat Hotels Ltd.,BSE,
GRAVISSHO.BO,Graviss Hospitality Limited,BSE,
BENARAS.BO,Benares Hotels Limited,BSE,
ZENITHHE.BO,Zenith Healthcare Ltd,BSE,
WONDERLA.BO,WONDERLA HOLIDAYS LTD,BSE,
WHBRADY.BO,WH Brady & Company Limited,BSE,
THEBYKE.BO,THE BYKE HOSPITALITY LTD.,BSE,
SYNCOM.NS,Syncom Healthcare Limited,NSI,Drugs - Generic
SUNILHITEC.BO,Sunil Hitech Engineers Ltd.,BSE,
STERLINH6.BO,STERLINH6.BO,BSE,
STERLINH.BO,Sterling Holiday Resorts (India) Limited,BSE,
SHHARICH.BO,Shree Hari Chemicals Export Limited,BSE,
SGJHL.BO,Shree Ganesh Jewellery House (I) Limited,BSE,
ROHLTD.NS,Royal Orchid Hotels Limited,NSI,Lodging
ROHLTD.BO,Royal Orchid Hotels Limited,BSE,
JUBLINDS.NS,Jubilant Industries Limited,NSI,Rubber & Plastics
JKIL.BO,J.Kumar Infraprojects Limited,BSE,
JVLAGRO.BO,JVL Agro Industries Ltd,BSE,
JISLJALEQS.NS,Jain Irrigation Systems Limited,NSI,Farm & Construction Machinery
JAIBALAJI.BO,Jai Balaji Industries Ltd.,BSE,
ZODJRDMKJ.NS,Zodiac-JRD-MKJ Limited,NSI,Jewelry Stores
SBBJ.NS,State Bank of Bikaner & Jaipur,NSI,
SBBJ.BO,State Bank of Bikaner & Jaipur,BSE,
PCJEWELLER-EQ.NS,PC JEWELLER LIMITE INR10,NSI,
JYOTI.BO,Jyoti Ltd.,BSE,
JYOTHYLAB.NS,Jyothy Laboratories Limited,NSI,Personal Products
JUBLFOOD.NS,Jubilant FoodWorks Limited,NSI,Restaurants
JUBLFOOD.BO,Jubilant FoodWorks Limited,BSE,
JUBILANT.NS,Jubilant Life Sciences Limited,NSI,Drug Manufacturers - Major
JSWSTEEL.NS,JSW Steel Limited,NSI,
JSWSTEEL.BO,JSW STEEL LTD.,BSE,
JSWENERGY.BO,JSW Energy Limited,BSE,
JPTSEC.BO,JPT Securities Ltd.,BSE,
JPPOWER.NS,Jaiprakash Power Ventures Limited,NSI,Diversified Utilities
JPPOWER.BO,Jaiprakash Power Ventures Limited,BSE,
JPOLYINVST.NS,Jindal Poly Investment and Finance Company Limited,NSI,Asset Management
JPINFRATEC.BO,Jaypee Infratech Limited,BSE,
JKTYRE.NS,JK Tyre & Industries Limited,NSI,
JKPAPER.NS,JK Paper Limited,NSI,Paper & Paper Products
JISLDVREQS.NS,Jain Irrigation Systems Limited,NSI,Farm & Construction Machinery
JINDCOT.NS,Jindal Cotex Limited,NSI,Textile Industrial
JINDALSAW.NS,Jindal Saw Limited,NSI,Steel & Iron
JETKINGQ.BO,Jetking Infotrain Limited,BSE,
JETAIRWAYS.BO,Jet Airways (India) Ltd.,BSE,
JCTLTD.BO,JCT Ltd.,BSE,
JBFIND.NS,JBF Industries Limited,NSI,Textile Industrial
JAMESWARREN.BO,JAMES WARREN TEA LTD,BSE,
JAIHINDPRO.NS,Jaihind Projects Limited,NSI,General Contractors
JAGSONFI.BO,Jagsonpal Finance & Leasing Ltd,BSE,
JAGRAN.NS,Jagran Prakashan Limited,NSI,Publishing - Newspapers
JMFINANCIL-EQ.NS,JM FINANCIAL INR1,NSI,
DIVYAJYQ.BO,Divya Jyoti Industries Ltd,BSE,
BJDUP.BO,B.J.DUPLEX BOARDS LTD.,BSE,
JAGSNPHARM-EQ.NS,JAGSONPAL PHARMACE INR5,NSI,
JAMNAAUTO.NS,Jamna Auto Industries Limited,NSI,Auto Parts
JAICORPLTD.NS,Jai Corp Limited,NSI,Rubber & Plastics
JAIMI.BO,JAI MATA INDUSTRIES LTD.,BSE,
JMA.NS,Jullundur Motor Agency (Delhi) Limited,NSI,Auto Parts
JYOTISTRUC-EQ.NS,JYOTI STRUCTURES INR2,NSI,
JYOTIRES.BO,Jyoti Resins & Adhesives Ltd.,BSE,
JUPITERIN.BO,JUPITER INFOMEDIA LTD.,BSE,
JENSONICOL.BO,JENSON & NICHOLSON (INDIA) LTD,BSE,
JKLAKBBPH.BO,JKLAKSHMI*,BSE,
JUSTDIAL.NS,Just Dial Limited,NSI,
JARITEX.BO,Kintech Renewables Limited,BSE,
JAYENGY.BO,JAY ENERGY AND S.ENERGIES LTD.,BSE,
JKIL.NS,J. Kumar Infraprojects Limited,NSI,General Contractors
JAYATMA.BO,Jayatma Spinners Limited,BSE,
JAYAMEL.BO,Jayant Mercantile Co. Ltd.,BSE,
RJBIOTECH.BO,R J BIO-TECH LTD,BSE,
JINDWORLD.BO,JINDAL WORLDWIDE LTD.,BSE,
J&KBANK.NS,The Jammu and Kashmir Bank Limited,NSI,Money Center Banks
JINDALSTEL.BO,JINDAL STEEL & POWER LTD.,BSE,
JINDALPOLY.BO,JINDAL POLY FILMS LTD.,BSE,
JPASSOCIAT.BO,JAIPRAKASH ASSOCIATES LTD.,BSE,
JINDONL.BO,Kashyap Tele-Medicines Limited,BSE,
JAGPRO.BO,VERONICA PRODUCTION LTD,BSE,
JUSTDIAL-EQ.NS,JUST DIAL LTD INR10,NSI,
JISLDVREQS.BO,JAIN IRRIGATION SYSTEMS LTD.,BSE,
JPASSOCIAT6.BO,JPASSOCIAT6.BO,BSE,
JSTL.BO,Jeevan Scientific Technology L,BSE,
JKAGRI.BO,Florence Investech Limited,BSE,
J&KBANK-EQ.NS,THE JAMMU & KASHMIR BANK LIMITE,NSI,
JAMEHOT.BO,James Hotels Ltd,BSE,
JETINFRA.BO,Jet Infraventure Limited,BSE,
JINDALSAW.BO,JINDAL SAW LTD.,BSE,
JAMNAAUTO-EQ.NS,JAMNA AUTO INDUSTRIES LIMITED,NSI,
JSWSTEEL-P2.NS,JSW STEEL LTD 0.01% PRF 15/03/1,NSI,
JENBURPH.BO,Jenburkt Pharmaceuticals Ltd.,BSE,
CJGEL.BO,C.J. Gelatine Products Ltd.,BSE,
JCTEL-EQ.NS,JCT ELECTRONICS INR1.00,NSI,
JLMORI.BO,J. L. Morison (India) Limited,BSE,
PCJEWELLER.NS,PC Jeweller Limited,NSI,Jewelry Stores
JATTAINDUS.BO,JATTASHANKAR INDUSTIES LTD.,BSE,
JSWHL-EQ.NS,JSW HOLDINGS LIMIT INR10,NSI,
JAYKAY.BO,JAYKAY ENTERPRISES LTD.,BSE,
JSL.BO,Jindal Stainless Limited,BSE,
JAYSYN.BO,Jaysynth Dyestuff India Ltd.,BSE,
JMCPROJECT.BO,JMC PROJECTS (INDIA) LTD.,BSE,
JTLINFRA.BO,JTL INFRA LTD.,BSE,
NARBADA.BO,Narbada Gems And Jewellery Ltd,BSE,
TARAJEWELS.NS,Tara Jewels Limited,NSI,Jewelry Stores
JAYUSH.BO,Jay Ushin Limited,BSE,
JSWENERGY.NS,JSW Energy Limited,NSI,Diversified Utilities
JAYNECOIND-EQ.NS,JAYASWAL NECO IND INR10,NSI,
JUMBO.BO,JUMBO BAG LTD.,BSE,
SAIJEEV.BO,SAI JEEVADHARA FINANCE LIMITED,BSE,
JUMBFNL.BO,JUMBO FINANCE LTD.,BSE,
JBFIND.BO,JBF Industries Limited,BSE,
JKCEMENT.NS,J.K. Cement Limited,NSI,General Building Materials
JUMBO-BZ.NS,JUMBO-BZ.NS,NSI,
JKPAPER-EQ.NS,JK PAPER LIMITED,NSI,
JINDHOT.BO,Jindal Hotels Ltd,BSE,
JSL6.BO,JSL6.BO,BSE,
JUNIORBEES.NS,Goldman Sachs Junior BeES ETF,NSI,
JAGSONAI.BO,Jagson Airlines Ltd.,BSE,
JINDCOT-EQ.NS,JINDAL COTEX LIMITED,NSI,
JAICORPLTD6.BO,JAICORPLTD6.BO,BSE,
AJBRO.BO,A.J.BROTHERS LTD.,BSE,
JIKIND.BO,JIK INDUSTRIES LTD.,BSE,
LYPSAGEMS.BO,LYPSA GEMS & JEWELLERY LTD,BSE,
JOSTS.BO,Josts Engineering Company Ltd,BSE,
JINDALPHOT.NS,Jindal Photo Limited,NSI,"Recreational Goods, Other"
JAIBALAJI-EQ.NS,JAI BALAJI INDUSTRIES LIMITED,NSI,
JAIHINDS.BO,Jaihind Synthetics Limited,BSE,
