TICKER,NAME,SERIES,SYMBOL,SLUG
ASIANPAINT.NS,Asian Paints Limited,EQ,ASIANPAINT,asianpaint
ASIANTILES.NS,Asian Granito India Limited,EQ,ASIANTILES,asiantiles
ASMS.NS,Bartronics India Limited,BZ,ASMS,asms
ASPINWALL.NS,Aspinwall and Company Limited,EQ,ASPINWALL,aspinwall
ASTEC.NS,Astec LifeSciences Limited,EQ,ASTEC,astec
ASTERDM.NS,Aster DM Healthcare Limited,EQ,ASTERDM,asterdm
ASTRAL.NS,Astral Limited,EQ,ASTRAL,astral
ASTRAMICRO.NS,Astra Microwave Products Limited,EQ,ASTRAMICRO,astramicro
ASTRAZEN.NS,AstraZeneca Pharma India Limited,EQ,ASTRAZEN,astrazen
ASTRON.NS,Astron Paper & Board Mill Limited,EQ,ASTRON,astron
ATFL.NS,Agro Tech Foods Limited,EQ,ATFL,atfl
ATGL.NS,Adani Total Gas Limited,EQ,ATGL,atgl
ATLANTA.NS,Atlanta  Limited,EQ,ATLANTA,atlanta
ATUL.NS,Atul Limited,EQ,ATUL,atul
ATULAUTO.NS,Atul Auto Limited,EQ,ATULAUTO,atulauto
AUBANK.NS,AU Small Finance Bank Limited,EQ,AUBANK,aubank
AURIONPRO.NS,Aurionpro Solutions Limited,EQ,AURIONPRO,aurionpro
AUROPHARMA.NS,Aurobindo Pharma Limited,EQ,AUROPHARMA,auropharma
AURUM.NS,Aurum PropTech Limited,EQ,AURUM,aurum
AUSOMENT.NS,Ausom Enterprise Limited,EQ,AUSOMENT,ausoment
AUTOAXLES.NS,Automotive Axles Limited,EQ,AUTOAXLES,autoaxles
AUTOIND.NS,Autoline Industries Limited,EQ,AUTOIND,autoind
AVADHSUGAR.NS,Avadh Sugar & Energy Limited,EQ,AVADHSUGAR,avadhsugar
AVALON.NS,Avalon Technologies Limited,EQ,AVALON,avalon
AVANTIFEED.NS,Avanti Feeds Limited,EQ,AVANTIFEED,avantifeed
AVONMORE.NS,Avonmore Capital & Management Services Limited,EQ,AVONMORE,avonmore
AVROIND.NS,AVRO INDIA LIMITED,EQ,AVROIND,avroind
AVTNPL.NS,AVT Natural Products Limited,EQ,AVTNPL,avtnpl
AWHCL.NS,Antony Waste Handling Cell Limited,EQ,AWHCL,awhcl
AWL.NS,Adani Wilmar Limited,EQ,AWL,awl
AXISBANK.NS,Axis Bank Limited,EQ,AXISBANK,axisbank
AXISCADES.NS,AXISCADES Technologies Limited,EQ,AXISCADES,axiscades
AXITA.NS,Axita Cotton Limited,EQ,AXITA,axita
AYMSYNTEX.NS,AYM Syntex Limited,EQ,AYMSYNTEX,aymsyntex
BAFNAPH.NS,Bafna Pharmaceuticals Limited,BE,BAFNAPH,bafnaph
BAGFILMS.NS,B.A.G Films and Media Limited,EQ,BAGFILMS,bagfilms
BAIDFIN.NS,Baid Finserv Limited,EQ,BAIDFIN,baidfin
